, subjectID,block, pixl_dist1, pixl_sd1, seqfoil1, rep1, rep_num1, speed1, sspa1
217,60cef7be32400c5dd5a5a10f,2,34.269,21.482, seq, True,1,2.643,90.0
218,650afc00d748aa554ebde221,2,41.461,30.481, seq, True,1,1.232,98.333
219,5e566d19df03b701e6278872,2,21.498,21.645, foil, False,0,1.323,96.667
220,663c30838dca3f4b3decdd98,2,45.905,32.891, foil, False,0,1.484,91.667
221,66438bd9fb5f98e37d2c8539,2,21.028,16.219, seq, True,1,1.505,95.0
222,5ed7fe668550fa2f546bebfb,2,31.549,23.785, seq, True,1,1.648,95.0
223,53987712fdf99b68e3a45021,2,27.57,16.785, seq, True,1,1.231,100.0
224,663d676f4613048ac1916477,2,22.188,13.604, seq, True,1,1.842,93.333
225,5bbc1048fc482300014b0e9e,2,26.085,16.204, seq, True,1,1.744,90.0
226,6104d73b7cdac0a47a905f0d,2,35.063,23.78, seq, False,0,1.84,95.0
227,65e686420ea25196de9139d5,2,47.031,32.02, seq, False,0,1.437,96.667
228,63e2e62c8158920782631eef,2,41.749,30.275, seq, True,1,1.604,95.0
